Fecha,Partner,Pais,Inversion,Registros,primeros_Depositos
2025-10-03,Doradobet,El Salvador,158.14,19.0,4.0
2025-10-03,Doradobet,Perú,413.59,45.0,15.0
2025-10-03,Ecuabet,Ecuador,609.96,66.0,27.0
2025-10-03,GanaPlay,El Salvador,191.97,37.0,15.0
2025-10-03,GanaPlay,Guatemala,129.81,16.0,5.0
2025-10-03,Paniplay,Honduras,50.769999999999996,8.0,1.0
2025-10-04,Doradobet,Chile,195.04,10.0,1.0
2025-10-04,Doradobet,Costa Rica,469.92,43.0,25.0
2025-10-04,Doradobet,Ecuador,410.07,40.0,19.0
2025-10-04,Doradobet,El Salvador,119.33,14.0,4.0
2025-10-04,Doradobet,Perú,392.0,41.0,14.0
2025-10-04,Ecuabet,Ecuador,642.06,79.0,26.0
2025-10-04,GanaPlay,El Salvador,143.94,52.0,23.0
2025-10-04,GanaPlay,Guatemala,100.73,7.0,2.0
2025-10-04,Paniplay,Honduras,29.939999999999998,11.0,3.0
2025-10-05,Doradobet,Chile,271.8,14.0,2.0
2025-10-05,Doradobet,Costa Rica,629.03,75.0,34.0
2025-10-05,Doradobet,Ecuador,348.97,40.0,4.0
2025-10-05,Doradobet,El Salvador,159.59,22.0,5.0
2025-10-05,Doradobet,Perú,376.45,56.0,6.0
2025-10-05,Ecuabet,Ecuador,591.86,89.0,10.0
2025-10-05,GanaPlay,El Salvador,187.16,62.0,6.0
2025-10-05,GanaPlay,Guatemala,73.14,14.0,1.0
2025-10-05,Paniplay,Honduras,50.09,9.0,3.0
2025-10-06,Doradobet,Chile,205.79,7.0,0.0
2025-10-06,Doradobet,Costa Rica,478.94,37.0,15.0
2025-10-06,Doradobet,Ecuador,373.21,31.0,3.0
2025-10-06,Doradobet,El Salvador,150.04000000000002,10.0,1.0
2025-10-06,Doradobet,Perú,341.2,42.0,6.0
2025-10-06,Ecuabet,Ecuador,658.2,49.0,6.0
2025-10-06,GanaPlay,El Salvador,120.64,40.0,5.0
2025-10-06,GanaPlay,Guatemala,112.71000000000001,9.0,0.0
2025-10-06,Paniplay,Honduras,39.77,6.0,1.0
2025-10-07,Doradobet,Chile,246.73,9.0,2.0
2025-10-07,Doradobet,Costa Rica,553.22,43.0,22.0
2025-10-07,Doradobet,Ecuador,363.46,24.0,7.0
2025-10-07,Doradobet,El Salvador,197.73,16.0,7.0
2025-10-07,Doradobet,Perú,281.39,37.0,12.0
2025-10-07,Ecuabet,Ecuador,556.61,50.0,13.0
2025-10-07,GanaPlay,El Salvador,145.69,29.0,10.0
2025-10-07,GanaPlay,Guatemala,93.21000000000001,7.0,0.0
2025-10-07,Paniplay,Honduras,37.519999999999996,3.0,0.0
2025-10-08,Doradobet,Chile,225.56,6.0,1.0
2025-10-08,Doradobet,Costa Rica,481.97,47.0,29.0
2025-10-08,Doradobet,Ecuador,371.69,31.0,13.0
2025-10-08,Doradobet,El Salvador,161.54,17.0,5.0
2025-10-08,Doradobet,Guatemala,71.32,1.0,0.0
2025-10-08,Doradobet,Perú,389.06,41.0,11.0
2025-10-08,Ecuabet,Ecuador,752.43,50.0,14.0
2025-10-08,GanaPlay,El Salvador,154.69,19.0,9.0
2025-10-08,GanaPlay,Guatemala,134.38,6.0,3.0
2025-10-08,Paniplay,Honduras,38.21,4.0,0.0
2025-10-09,Doradobet,Chile,301.06,5.0,2.0
2025-10-09,Doradobet,Costa Rica,473.75,86.0,47.0
2025-10-09,Doradobet,Ecuador,288.04,28.0,10.0
2025-10-09,Doradobet,El Salvador,85.83,9.0,5.0
2025-10-09,Doradobet,Guatemala,129.54,10.0,3.0
2025-10-09,Doradobet,Perú,234.92000000000002,37.0,3.0
2025-10-09,Ecuabet,Ecuador,407.26,67.0,18.0
2025-10-09,GanaPlay,El Salvador,136.73,35.0,11.0
2025-10-09,GanaPlay,Guatemala,92.61,8.0,2.0
2025-10-09,Paniplay,Honduras,49.36,15.0,6.0
2025-10-10,Doradobet,Chile,349.28,12.0,1.0
2025-10-10,Doradobet,Costa Rica,404.67,84.0,41.0
2025-10-10,Doradobet,Ecuador,351.77,42.0,24.0
2025-10-10,Doradobet,El Salvador,110.47,23.0,8.0
2025-10-10,Doradobet,Guatemala,140.53,14.0,5.0
2025-10-10,Doradobet,Perú,254.37,51.0,10.0
2025-10-10,Ecuabet,Ecuador,403.22,61.0,17.0
2025-10-10,GanaPlay,El Salvador,225.68,68.0,19.0
2025-10-10,GanaPlay,Guatemala,95.91,22.0,6.0
2025-10-10,Paniplay,Honduras,39.32,16.0,3.0
2025-10-11,Doradobet,Chile,214.99,10.0,3.0
2025-10-11,Doradobet,Costa Rica,533.34,51.0,34.0
2025-10-11,Doradobet,Ecuador,432.71999999999997,28.0,16.0
2025-10-11,Doradobet,El Salvador,93.19,29.0,2.0
2025-10-11,Doradobet,Guatemala,134.54,6.0,2.0
2025-10-11,Doradobet,Perú,156.19,37.0,10.0
2025-10-11,Ecuabet,Ecuador,483.98,63.0,12.0
2025-10-11,GanaPlay,El Salvador,178.69,78.0,24.0
2025-10-11,GanaPlay,Guatemala,80.02,8.0,2.0
2025-10-11,Paniplay,Honduras,78.13,7.0,1.0
2025-10-12,Doradobet,Chile,197.56,7.0,1.0
2025-10-12,Doradobet,Costa Rica,395.65999999999997,40.0,20.0
2025-10-12,Doradobet,Ecuador,333.29,28.0,9.0
2025-10-12,Doradobet,El Salvador,102.22,8.0,5.0
2025-10-12,Doradobet,Guatemala,107.59,7.0,1.0
2025-10-12,Doradobet,Perú,171.48,26.0,6.0
2025-10-12,Ecuabet,Ecuador,424.82,51.0,9.0
2025-10-12,GanaPlay,El Salvador,122.61,31.0,15.0
2025-10-12,GanaPlay,Guatemala,47.879999999999995,16.0,2.0
2025-10-12,Paniplay,Honduras,46.84,8.0,3.0
2025-10-13,Doradobet,Chile,190.97,11.0,3.0
2025-10-13,Doradobet,Costa Rica,463.41,55.0,41.0
2025-10-13,Doradobet,Ecuador,370.89,21.0,13.0
2025-10-13,Doradobet,El Salvador,123.09,10.0,3.0
2025-10-13,Doradobet,Guatemala,127.67,1.0,1.0
2025-10-13,Doradobet,Perú,153.12,30.0,8.0
2025-10-13,Ecuabet,Ecuador,507.7,44.0,15.0
2025-10-13,GanaPlay,El Salvador,169.88,30.0,14.0
2025-10-13,GanaPlay,Guatemala,75.42,8.0,1.0
2025-10-13,Paniplay,Honduras,59.23,8.0,1.0
2025-10-14,Doradobet,Chile,184.27,15.0,4.0
2025-10-14,Doradobet,Costa Rica,409.29,73.0,45.0
2025-10-14,Doradobet,Ecuador,291.2,36.0,13.0
2025-10-14,Doradobet,El Salvador,73.83,19.0,3.0
2025-10-14,Doradobet,Guatemala,128.9,7.0,4.0
2025-10-14,Doradobet,Perú,163.02,38.0,5.0
2025-10-14,Ecuabet,Ecuador,498.82,69.0,18.0
2025-10-14,GanaPlay,El Salvador,203.85,45.0,14.0
2025-10-14,GanaPlay,Guatemala,83.17999999999999,12.0,0.0
2025-10-14,Paniplay,Honduras,40.83,11.0,2.0
2025-10-01,Aciertala,Perú,22.525,,
2025-10-01,Ecuabet,Ecuador,54.709,,
2025-10-02,Aciertala,Perú,22.225,,
2025-10-02,Ecuabet,Ecuador,71.7585,,
2025-10-03,Aciertala,Perú,22.53,,
