date      , country, conversions, spending            , campaignid, clicks, impressions, campaignname
2025-10-02, SV     ,           0,  0.0                ,  449842020,      0,       11309, ES_Doradobet_Popunder_Deportivas_CPA
2025-10-03, CR     ,           0,  0.0                ,  458606220,      0,        4945, CR_Doradobet_PopUnder_Regalo_por_registro_Mobil
2025-10-03, EC     ,           0,  6.097568000000001  ,  437525820,      0,       12555, EC_Ecuabet_DeportivasMixtas_Mob_CPAT
2025-10-03, EC     ,           1,  1.097576           ,  444589020,      0,        3739, EC_Ecuabet_Popunder_Casino_Desk_CPAT
2025-10-03, EC     ,           0,  7.63295            ,  444589620,      0,       15923, EC_Ecuabet_Popunder_Casino_Mob_CPAT
2025-10-03, EC     ,           0,  0.28784299999999996,  444590820,      0,        1981, EC_Ecuabet_DeportivasMixtas_Desk_CPAT
2025-10-03, EC     ,           0,  0.742324           ,  444595020,      0,        3251, DB_Ecuado_Popunder_Crash_Game_Desk_CPA
2025-10-03, EC     ,           0,  0.0                ,  449832420,      0,        8246, EC_Doradobet_Popunder_lLiga_Pro_Mobile_CPA
2025-10-03, EC     ,           0,  0.0                ,  449833020,      0,        5922, EC_Doradobet_Popunder_Crash_Game_Mobile_CPA
2025-10-03, EC     ,           0,  0.0                ,  449834820,      0,       12928, EC_Doradobet_Popunder_Sorteo_Carro_Mobile_CPA
2025-10-03, NI     ,           1,  1.6447059999999998 ,  437521620,      0,        4885, NI_Doradobet_Poker_Ruleta_MOBIEL_CPAT
2025-10-03, NI     ,           0,  2.469981           ,  437522820,      0,        6987, NI_Doradobet_Reglo_Registro_MOBIEL_CPA
2025-10-03, NI     ,           0,  0.144398           ,  437523420,      0,        1085, NI_Doradobet_Reglo_Registro_DESK_CPA
2025-10-03, PE     ,           2,  2.0                ,  448580820,      0,       18054, PE_Doradobet_Jack_Pot_Desk_CPA
2025-10-03, PE     ,           0,  0.0                ,  448840620,      0,       23753, PE_Doradobet_Jack_Pot_Mobile_CPA
2025-10-03, PE     ,           1,  2.0                ,  448841220,      0,       23158, PE_Doradobet_GENERICO_LIGA_1_Mob_CPA
2025-10-03, PE     ,           0,  0.0                ,  448841820,      0,       15158, PE_Doradobet_GENERICO_LIGA_1_Desk_CPA
2025-10-03, PE     ,           3,  6.0                ,  448843020,      0,       48383, PE_Doradobet_Bono_Bienvenida_Desk_CPA
2025-10-03, PE     ,           0,  0.0                ,  448843620,      0,       56943, PE_Doradobet_Bono_Bienvenida_Mob_CPA
2025-10-03, SV     ,           2,  6.353893           ,  437511420,      0,       12826, ES_Doradobet_Popunder_Regalo_Bono_Mob_CPAT
2025-10-03, SV     ,           0,  0.273758           ,  437512020,      0,        1115, ES_Doradobet_Popunder_Regalo_Bono_Desk_CPAT
2025-10-03, SV     ,           0,  0.0                ,  442119420,      0,        3524, ES_Doradobet_Popunder_Regalo_Registro_Mobile_CPAT
2025-10-03, SV     ,           0,  0.0                ,  449842020,      0,        9971, ES_Doradobet_Popunder_Deportivas_CPA
2025-10-04, CR     ,           0,  0.0                ,  458606220,      0,       11071, CR_Doradobet_PopUnder_Regalo_por_registro_Mobil
2025-10-04, EC     ,           0, 26.32033399999998   ,  437525820,      0,       42664, EC_Ecuabet_DeportivasMixtas_Mob_CPAT
2025-10-04, EC     ,           0,  5.131966           ,  444589020,      0,       13539, EC_Ecuabet_Popunder_Casino_Desk_CPAT
2025-10-04, EC     ,           0, 22.092501999999993  ,  444589620,      0,       36924, EC_Ecuabet_Popunder_Casino_Mob_CPAT
2025-10-04, EC     ,           0,  2.4263760000000003 ,  444590820,      0,        7942, EC_Ecuabet_DeportivasMixtas_Desk_CPAT
2025-10-04, EC     ,           1,  3.746955           ,  444595020,      0,       11799, DB_Ecuado_Popunder_Crash_Game_Desk_CPA
2025-10-04, EC     ,           1,  2.0                ,  449832420,      0,       24168, EC_Doradobet_Popunder_lLiga_Pro_Mobile_CPA
2025-10-04, EC     ,           0,  0.0                ,  449833020,      0,       20593, EC_Doradobet_Popunder_Crash_Game_Mobile_CPA
2025-10-04, EC     ,           1,  3.0                ,  449834820,      0,       35839, EC_Doradobet_Popunder_Sorteo_Carro_Mobile_CPA
2025-10-04, NI     ,           5,  9.660509000000005  ,  437521620,      0,       40542, NI_Doradobet_Poker_Ruleta_MOBIEL_CPAT
2025-10-04, NI     ,           4,  9.868338000000003  ,  437522820,      0,       44421, NI_Doradobet_Reglo_Registro_MOBIEL_CPA
2025-10-04, NI     ,           0,  1.224312           ,  437523420,      0,        6301, NI_Doradobet_Reglo_Registro_DESK_CPA
2025-10-04, PE     ,           0,  0.0                ,  448580820,      0,       35624, PE_Doradobet_Jack_Pot_Desk_CPA
2025-10-04, PE     ,           1,  2.0                ,  448840620,      0,      100121, PE_Doradobet_Jack_Pot_Mobile_CPA
2025-10-04, PE     ,           2,  4.0                ,  448841220,      0,      117230, PE_Doradobet_GENERICO_LIGA_1_Mob_CPA
2025-10-04, PE     ,           1,  1.0                ,  448841820,      0,       23979, PE_Doradobet_GENERICO_LIGA_1_Desk_CPA
2025-10-04, PE     ,           6, 12.0                ,  448843020,      0,      108252, PE_Doradobet_Bono_Bienvenida_Desk_CPA
2025-10-04, PE     ,           7, 14.0                ,  448843620,      0,      245170, PE_Doradobet_Bono_Bienvenida_Mob_CPA
2025-10-04, SV     ,          14, 70.208803           ,  437511420,      0,       98179, ES_Doradobet_Popunder_Regalo_Bono_Mob_CPAT
2025-10-04, SV     ,           0,  5.786724999999997  ,  437512020,      0,       12101, ES_Doradobet_Popunder_Regalo_Bono_Desk_CPAT
