stat_time_day,ad_id,country_code,comments,cpc,currency,result,profile_visits,impressions,shares,clicks,result_rate,video_watched_2s,cpm,conversion,likes,spend,campaign_id,cost_per_conversion,complete_payment,conversion_rate,ctr,video_watched_6s,follows,reach
2025-10-11 00:00:00,1845523517868082,EC,0,12.44,COP,578,0,5858,0,842,9.87,2945,1788.58,578,0,10477.52,1844988626921586,18.13,0,68.65,14.37,2413,0,3251
2025-10-11 00:00:00,1845523220371490,EC,0,11.76,COP,14,0,217,0,29,6.45,94,1571.98,14,0,341.12,1844988626921586,24.37,0,48.28,13.36,71,0,122
2025-10-11 00:00:00,1845523858342178,EC,0,12.64,COP,1056,0,12951,0,1481,8.15,6028,1444.91,1056,0,18713.07,1844988626921586,17.72,0,71.30,11.44,4187,0,7026
2025-10-11 00:00:00,1844989123681314,None,0,0.00,COP,0,0,0,0,0,0.00,0,0.00,0,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
2025-10-11 00:00:00,1845523517868082,None,0,0.00,COP,0,0,0,0,0,0.00,0,0.00,0,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
2025-10-11 00:00:00,1845523858342178,None,0,0.00,COP,1,0,0,0,0,0.00,0,0.00,1,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
2025-10-12 00:00:00,1845523517868082,EC,0,13.59,COP,667,0,6514,0,972,10.24,3496,2028.50,667,0,13213.67,1844988626921586,19.81,0,68.62,14.92,2818,0,3676
2025-10-12 00:00:00,1845523220371490,EC,0,20.44,COP,10,0,247,0,13,4.05,93,1075.99,10,0,265.77,1844988626921586,26.58,0,76.92,5.26,73,0,117
2025-10-12 00:00:00,1845523858342178,EC,0,12.85,COP,812,0,9175,0,1113,8.85,4988,1558.89,812,0,14302.82,1844988626921586,17.61,0,72.96,12.13,3605,0,5128
2025-10-12 00:00:00,1845522392417585,EC,0,10.02,COP,32,0,405,0,58,7.90,123,1434.42,32,0,580.94,1844988626921586,18.15,0,55.17,14.32,84,0,235
2025-10-12 00:00:00,1844989123681314,EC,0,13.07,COP,314,0,6197,0,463,5.07,1667,976.56,314,0,6051.77,1844988626921586,19.27,0,67.82,7.47,1346,0,2327
2025-10-12 00:00:00,1845523517868082,None,0,0.00,COP,0,0,0,0,0,0.00,0,0.00,0,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
2025-10-12 00:00:00,1844989123681314,None,0,0.00,COP,1,0,0,0,0,0.00,0,0.00,1,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
2025-10-12 00:00:00,1845523858342178,None,0,0.00,COP,0,0,0,0,0,0.00,0,0.00,0,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
2025-10-13 00:00:00,1845523220371490,EC,0,17.84,COP,9,0,215,0,11,4.19,80,912.98,9,0,196.29,1844988626921586,21.81,0,81.82,5.12,68,0,100
2025-10-13 00:00:00,1845523858342178,EC,0,14.90,COP,678,0,8126,0,914,8.34,4167,1675.75,678,0,13617.11,1844988626921586,20.08,0,74.18,11.25,3047,0,4504
2025-10-13 00:00:00,1845523517868082,EC,0,13.99,COP,758,0,7058,0,1067,10.74,3505,2114.53,758,0,14924.34,1844988626921586,19.69,0,71.04,15.12,2734,0,4433
2025-10-13 00:00:00,1844989123681314,EC,0,16.02,COP,207,0,4579,0,290,4.52,1369,1014.40,207,0,4644.96,1844988626921586,22.44,0,71.38,6.33,1095,0,1700
2025-10-13 00:00:00,1845522392417585,EC,0,15.46,COP,39,0,441,0,54,8.84,178,1892.45,39,0,834.57,1844988626921586,21.40,0,72.22,12.24,119,0,325
2025-10-13 00:00:00,1845523220371490,None,0,0.00,COP,0,0,0,0,0,0.00,0,0.00,0,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
2025-10-13 00:00:00,1845522392417585,None,0,0.00,COP,0,0,0,0,0,0.00,0,0.00,0,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
2025-10-13 00:00:00,1844989123681314,None,0,0.00,COP,1,0,0,0,0,0.00,0,0.00,1,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
2025-10-13 00:00:00,1845523858342178,None,0,0.00,COP,1,0,0,0,0,0.00,0,0.00,1,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
2025-10-13 00:00:00,1845523517868082,None,0,0.00,COP,1,0,0,0,0,0.00,0,0.00,1,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
2025-10-14 00:00:00,1845523858342178,EC,0,13.42,COP,1087,0,14391,0,1557,7.55,6728,1452.41,1087,0,20901.65,1844988626921586,19.23,0,69.81,10.82,4711,0,7746
2025-10-14 00:00:00,1844989123681314,EC,0,16.24,COP,37,0,382,0,52,9.69,269,2210.00,37,0,844.22,1844988626921586,22.82,0,71.15,13.61,229,0,243
2025-10-14 00:00:00,1845522392417585,EC,0,22.65,COP,10,0,138,0,14,7.25,61,2297.32,10,0,317.03,1844988626921586,31.70,0,71.43,10.14,43,0,122
2025-10-14 00:00:00,1845523517868082,EC,0,13.15,COP,646,0,5993,0,946,10.78,3051,2076.44,646,0,12444.13,1844988626921586,19.26,0,68.29,15.79,2473,0,3593
2025-10-14 00:00:00,1845523220371490,EC,0,29.22,COP,1,0,31,0,2,3.23,22,1884.84,1,0,58.43,1844988626921586,58.43,0,50.00,6.45,20,0,27
2025-10-14 00:00:00,1845523858342178,None,0,0.00,COP,0,0,0,0,0,0.00,0,0.00,0,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
2025-10-14 00:00:00,1845523517868082,None,0,0.00,COP,1,0,0,0,0,0.00,0,0.00,1,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
2025-10-14 00:00:00,1844989123681314,None,0,0.00,COP,0,0,0,0,0,0.00,0,0.00,0,0,0.00,1844988626921586,0.00,0,0.00,0.00,0,0,0
